   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      0       1       1       1 ?             -1 Ss       0   0:07 /usr/lib/systemd/systemd --switched-root --system --deserialize=46 rhgb
      0       2       0       0 ?             -1 S        0   0:00 [kthreadd]
      2       3       0       0 ?             -1 S        0   0:00 [pool_workqueue_release]
      2       4       0       0 ?             -1 I<       0   0:00 [kworker/R-rcu_gp]
      2       5       0       0 ?             -1 I<       0   0:00 [kworker/R-sync_wq]
      2       6       0       0 ?             -1 I<       0   0:00 [kworker/R-slub_flushwq]
      2       7       0       0 ?             -1 I<       0   0:00 [kworker/R-netns]
      2      13       0       0 ?             -1 I<       0   0:00 [kworker/R-mm_percpu_wq]
      2      14       0       0 ?             -1 I        0   0:00 [rcu_tasks_kthread]
      2      15       0       0 ?             -1 I        0   0:00 [rcu_tasks_rude_kthread]
      2      16       0       0 ?             -1 I        0   0:00 [rcu_tasks_trace_kthread]
      2      17       0       0 ?             -1 S        0   0:09 [ksoftirqd/0]
      2      18       0       0 ?             -1 I        0   0:00 [rcu_preempt]
      2      19       0       0 ?             -1 S        0   0:00 [rcu_exp_par_gp_kthread_worker/0]
      2      20       0       0 ?             -1 S        0   0:00 [rcu_exp_gp_kthread_worker]
      2      21       0       0 ?             -1 S        0   0:01 [migration/0]
      2      22       0       0 ?             -1 S        0   0:00 [idle_inject/0]
      2      23       0       0 ?             -1 S        0   0:00 [cpuhp/0]
      2      25       0       0 ?             -1 S        0   0:00 [kdevtmpfs]
      2      26       0       0 ?             -1 I<       0   0:00 [kworker/R-inet_frag_wq]
      2      27       0       0 ?             -1 S        0   0:00 [kauditd]
      2      28       0       0 ?             -1 S        0   0:00 [khungtaskd]
      2      29       0       0 ?             -1 S        0   0:00 [oom_reaper]
      2      30       0       0 ?             -1 I<       0   0:00 [kworker/R-writeback]
      2      31       0       0 ?             -1 S        0   0:07 [kcompactd0]
      2      32       0       0 ?             -1 SN       0   0:00 [ksmd]
      2      33       0       0 ?             -1 SN       0   0:08 [khugepaged]
      2      34       0       0 ?             -1 I<       0   0:00 [kworker/R-cryptd]
      2      35       0       0 ?             -1 I<       0   0:00 [kworker/R-kintegrityd]
      2      36       0       0 ?             -1 I<       0   0:00 [kworker/R-kblockd]
      2      37       0       0 ?             -1 I<       0   0:00 [kworker/R-blkcg_punt_bio]
      2      39       0       0 ?             -1 S        0   0:00 [irq/9-acpi]
      2      40       0       0 ?             -1 I<       0   0:00 [kworker/R-tpm_dev_wq]
      2      41       0       0 ?             -1 I<       0   0:00 [kworker/R-md]
      2      42       0       0 ?             -1 I<       0   0:00 [kworker/R-md_bitmap]
      2      43       0       0 ?             -1 I<       0   0:00 [kworker/R-edac-poller]
      2      44       0       0 ?             -1 S        0   0:00 [watchdogd]
      2      46       0       0 ?             -1 S        0   0:13 [kswapd0]
      2      54       0       0 ?             -1 I<       0   0:00 [kworker/R-kthrotld]
      2      59       0       0 ?             -1 I<       0   0:00 [kworker/R-acpi_thermal_pm]
      2      60       0       0 ?             -1 I<       0   0:00 [kworker/R-kmpath_rdacd]
      2      61       0       0 ?             -1 I<       0   0:00 [kworker/R-kaluad]
      2      62       0       0 ?             -1 I<       0   0:00 [kworker/R-mld]
      2      63       0       0 ?             -1 I<       0   0:00 [kworker/R-ipv6_addrconf]
      2      68       0       0 ?             -1 I<       0   0:00 [kworker/R-kstrp]
      2      76       0       0 ?             -1 I<       0   0:00 [kworker/u5:0-ttm]
      2     416       0       0 ?             -1 I<       0   0:00 [kworker/R-ata_sff]
      2     421       0       0 ?             -1 S        0   0:00 [scsi_eh_0]
